Clock Speed,4.00E+09,,,,,,,,,,,
,,,,,,,,,,,,
nFiles,Size,Checks,R/F,Print,nProc,Time,FPS,FPS/core,pCycles,Throughput,pCycles/file,pC/MB
46,60.10609531402588,Y,R,Y,6,18.87055230140686,0.4102293978566709,0.06837156630944514,452893255233.76465,3.1851794454126696,9845505548.5601,7534897298.977947
48,58.13209819793701,Y,R,Y,6,18.527155876159668,0.38598241408665973,0.06433040234777662,444651741027.83203,3.137669839154325,9263577938.079834,7648988335.391131
48,57.78267288208008,Y,R,Y,6,18.105339765548706,0.3771945784489314,0.0628657630748219,434528154373.16895,3.191471335546566,9052669882.774353,7520042474.669383
48,56.837324142456055,Y,R,Y,6,17.984582901000977,0.3746788104375203,0.06244646840625339,431629989624.02344,3.160335964160316,8992291450.500488,7594129317.949482
48,57.43688201904297,Y,R,Y,6,18.214706659317017,0.37947305540243786,0.06324550923373964,437152959823.6084,3.153324568620675,9107353329.658508,7611014812.375646
47,56.46450614929199,Y,R,Y,6,18.198838710784912,0.3872093342720194,0.06453488904533657,436772129058.8379,3.1026433634927626,9293024022.528465,7735339576.051788
47,58.588056564331055,Y,R,Y,6,18.77688479423523,0.39950818711138786,0.06658469785189798,450645235061.6455,3.1202224014453357,9588196490.67331,7691759404.356185
47,58.40967655181885,Y,R,Y,6,18.43317484855652,0.3921952095437557,0.06536586825729261,442396196365.35645,3.168725790955802,9412685029.050137,7574022362.080354
49,57.59218215942383,Y,R,Y,6,18.68790316581726,0.3813857788942298,0.06356429648237163,448509675979.61426,3.081789414703723,9153258693.461515,7787683313.30235
46,55.90931701660156,Y,R,Y,6,17.792924642562866,0.3868027096209319,0.06446711827015532,427030191421.5088,3.1422218741296524,9283265030.902365,7637907493.9282055
44,52.085472106933594,Y,R,Y,6,16.02010440826416,0.36409328200600366,0.060682213667667274,384482505798.33984,3.2512567196543793,8738238768.144087,7381760983.3502445
254,207.30432605743408,N,F,Y,6,26.95707082748413,0.10613020010820524,0.017688366684700873,646969699859.6191,7.690165128997494,2547124802.5969257,3120869265.798027
44,44.104262351989746,Y,R,Y,6,22.725136041641235,0.5164803645827554,0.08608006076379256,545403264999.38965,1.9407700033642785,12395528749.986128,12366225754.930555
44,44.104262351989746,Y,R,Y,6,25.05816102027893,0.5695036595517938,0.09491727659196564,601395864486.6943,1.7600757819497326,13668087829.243053,13635776508.108011
